"","sub_id","condition","SMD","NAP","TAU_U","glmm","pmg","brms_raw"
"122",61,1,2.54663176241351,0.96,1.04,1.18524245998556,0.72972972972973,14.3873834230465
"123",62,0,1.60996894379985,0.72,0.52,1.01758538417802,0.152542372881356,3.44269942043485
"124",62,1,6.42962838833795,0.99,0.88,1.54448939994895,0.957264957264957,20.3665287652037
"125",63,0,2.29483892992204,0.72,0.44,1.10262169088993,0.126984126984127,4.12832302172326
"126",63,1,7.15541752799933,1,0.84,1.40206418452394,0.848484848484849,19.4135713871219
"127",64,0,0.718516991216399,0.74,0.56,1.02537041857174,0.04,2.03998033221642
"128",64,1,4.60086948304339,0.93,0.86,1.22586588134148,0.523809523809524,11.6073329872508
"129",65,0,2.77185858225127,0.97,0.84,1.17433376198024,0.285714285714286,6.16404704684843
"130",65,1,4.2844075609293,0.95,0.92,1.48901885822907,0.738805970149254,17.913800737964
"131",66,0,0.77158851547266,0.78,0.54,1.06771382183454,0.094488188976378,2.95309552261343
"132",66,1,2.11786055568664,0.84,0.82,1.1053813084341,0.206349206349206,6.39683004801129
"133",67,0,2.11786055568664,0.88,0.7,1.05553663076032,0.083969465648855,3.34273919457892
"134",67,1,2.58477145571149,0.88,0.68,1.17802291468203,0.1796875,9.17223192184898
"135",68,0,1.53362316101447,0.9,0.78,1.10139234674602,0.408602150537634,4.85155968972084
"136",68,1,7.05607789739581,1,0.94,1.33727011966655,0.94047619047619,13.7077212651594
"137",69,0,-0.0415900195928028,0.47,0.02,0.967810371779378,0.00793650793650794,1.20738492058969
"138",69,1,6.94629951291167,1,1.1,1.35272991239224,0.528985507246377,16.0298940301306
"139",70,0,1.49731072057185,0.98,0.86,1.13898167381213,0.146341463414634,3.56114373132806
"140",70,1,2.29483892992204,1,1.02,1.0947482598931,0.401709401709402,7.30063299964304
"141",71,0,1.59528717680253,0.86,0.78,1.16707633258205,0.172661870503597,2.78143277192961
"142",71,1,0.983521370237722,0.77,0.46,1.08024256631302,0.185185185185185,5.20179989690812
"143",72,0,1.165786783048,0.84,0.58,1.10952277534788,0.122137404580153,2.99458479542295
"144",72,1,1.96773982019981,0.88,0.8,1.09056247457976,0.197080291970803,3.56732917766148
"145",73,0,0.33466401061363,0.7,0.38,1.05109689363871,0.0756302521008403,2.08657606021875
"146",73,1,1.05246962316844,0.89,0.92,1.05418256065586,0.224137931034483,6.26982286020536
"147",74,0,-0.268328157299975,0.39,-0.2,0.977189507442757,-0.0593220338983051,0.947727253396653
"148",74,1,1.54405597163361,0.9,0.74,1.20574666352678,0.496124031007752,12.3670267548547
"149",75,0,0.626099033699941,0.66,0.26,1.0890289292706,0.166666666666667,2.4677397075696
"150",75,1,0.3286335345031,0.66,0.26,1.02190220947877,0.0707964601769911,3.69725183843722
"151",76,0,0.836732461496034,0.7,0.34,1.07235929617609,0.0163934426229508,3.33408459914684
"152",76,1,6.52931849429938,0.87,0.8,1.22804890549988,0.59016393442623,15.2966810899446
"153",77,0,3.72911326112331,0.98,1.04,1.0948208989822,0.172661870503597,3.69545351839279
"154",77,1,0.536656314599949,0.65,0.2,1.11201600212434,0.16030534351145,4.67213318305383
"155",78,0,2.77293037365579,0.99,0.9,1.08119282675115,0.148936170212766,2.68013497657744
"156",78,1,2.68328157299975,0.92,0.68,1.37041640065948,0.401408450704225,9.68540456515449
"157",79,0,0.701167856961772,0.74,0.54,1.04860137134582,0.166666666666667,2.59704158501323
"158",79,1,6.64570036439602,1,0.96,1.31041379237461,0.568345323741007,15.1147493997227
"159",80,0,0.894427190999916,0.77,0.6,1.04189287443327,-0.00840336134453782,2.85579326427675
"160",80,1,0.655850238151761,0.75,0.42,1.05152605212739,-0.0169491525423729,3.1016112380404
